curso,carpeta,subcarpeta,enunciado,lenguaje,detalles_implementacion
A2016,Z1,Z1,"Calcular la suma de los puntos obtenidos por tres estudiantes (Tarik, Bojan y Mirza) en una asignatura, basándose en los resultados de cinco categorías: primer examen parcial (máximo 20 pts), segundo examen parcial (máximo 20 pts), asistencia (máximo 10 pts), tareas (máximo 10 pts) y examen final (máximo 40 pts). El programa debe validar que las entradas estén dentro de los rangos permitidos y finalizar con un mensaje de error si algún valor es inválido.",C,
A2016,Z1,Z4,"Escribir un programa que solicite al usuario un número entero n (donde 0 < n <= 50) e imprima en pantalla una letra 'W' (o un patrón de estrella en forma de W) formada por asteriscos, con una altura de n filas.",C,
A2016,Z1,Z3,"Escriba un programa que permita ingresar una serie de caracteres que representan los colores de vehículos (c: negro, b: blanco, s: gris, v: rojo, p: azul). El ingreso finaliza al introducir el carácter 'k'. El programa debe contar el total de vehículos ingresados, calcular el porcentaje de cada color y determinar cuál es el color más popular (en caso de empate, gana el que apareció primero).",C,
A2016,Z1,Z2,"Dados los coeficientes de dos rectas en la forma y = ax + b (y1 = a1x + b1 y y2 = a2x + b2), determinar su posición relativa (paralelas, coincidentes o secantes) y, en caso de ser secantes, calcular las coordenadas del punto de intersección.",C,
A2016,Z4,Z1,Escribir una función que reciba una cadena de texto (oración) y elimine todas las ocurrencias de la palabra que más veces aparece en dicha cadena.,C,
A2016,Z4,Z4,"Escribir una función que reciba una cadena de caracteres que representa una lista de coordenadas (x, y) en formato ""(x1,y1),(x2,y2),..."" y un rectángulo definido por sus límites (x1, y1, x2, y2). La función debe eliminar de la cadena todas las coordenadas que no se encuentren dentro de los límites del rectángulo dado, devolviendo la cadena modificada.",C,
A2016,Z4,Z3,Escribir una función que reciba una cadena de texto y dos arrays de cadenas (palabras a buscar y palabras de reemplazo) y reemplace en el texto todas las ocurrencias de las palabras especificadas por sus correspondientes sustitutos.,C,
A2016,Z4,Z2,"Implementar un algoritmo de cifrado y descifrado por sustitución basado en la frecuencia de aparición de los caracteres. El programa debe ordenar los caracteres del texto original según su frecuencia (de mayor a menor) para crear una clave (alfabeto de sustitución), y transformar el texto original reemplazando cada carácter por un valor calculado a partir de su posición en dicha clave.",C,
A2016,Z3,Z1,"Escribir un programa que solicite al usuario dos números enteros A y B (donde A < B y ambos deben ser naturales), y calcule la suma de todos los números primos situados estrictamente entre A y B.",C,
A2016,Z3,Z3,"Escribir un programa que lea una matriz de tamaño M x N (con límites definidos) y elimine todas las filas y columnas duplicadas, dejando solo la primera aparición de cada una, para finalmente imprimir la matriz resultante.",C,
A2016,Z3,Z2,"Escriba un programa que lea un arreglo de 10 números enteros, inserte entre cada par de elementos consecutivos la suma de los dígitos del número anterior y, finalmente, elimine del arreglo todos aquellos números que pertenezcan a la sucesión de Fibonacci.",C,
A2016,Z5,Z1,"Escribir una función que reciba un arreglo de estructuras `Stdeepseek-v4-flashudent` (que contienen nombre, apellido y una lista de calificaciones), el tamaño del arreglo y un promedio umbral. La función debe eliminar del arreglo a los estudiantes cuyo promedio de calificaciones sea menor al umbral dado. Nota: si un estudiante tiene al menos una calificación de 5, su promedio se considera 5.",C,
A2016,Z5,Z3,"Crear un programa para gestionar un horario de clases almacenado en un archivo binario (""raspored.dat""), que incluya funcionalidades para leer/guardar el horario, verificar si un nuevo registro se solapa con los existentes (control de conflictos) y visualizar el horario semanal en formato de tabla o por días.",C,
A2016,Z5,Z2,"Escribir un programa que lea un archivo de texto, identifique las palabras (formadas por letras) cuya longitud sea menor a 10 caracteres, cuente su frecuencia de aparición y genere un archivo de salida que liste las 10 palabras más frecuentes, ordenadas según su frecuencia (de mayor a menor) y, en caso de empate, alfabéticamente.",C,
A2016,Z2,Z1,Escribir un programa que tome un número entero ingresado por el usuario y genere un nuevo número formado por las diferencias absolutas entre cada par de dígitos adyacentes.,C,
A2016,Z2,Z4,"Escribir un programa que solicite al usuario las dimensiones M y N de una matriz, luego sus elementos, y determine si la matriz es de Toeplitz (donde cada diagonal descendente de izquierda a derecha tiene elementos constantes) o si es una matriz circular, imprimiendo el resultado correspondiente o indicando si no cumple con ninguna de estas propiedades.",C,
A2016,Z2,Z3,"Solicitar al usuario la cantidad de puntos a ingresar (entre 1 y 10). Luego, pedir las coordenadas (x, y) para cada punto dentro de una cuadrícula de 20x20. Finalmente, imprimir la cuadrícula visualizando los puntos ingresados con un asterisco (*) y los espacios vacíos con espacios en blanco.",C,
A2016,Z2,Z2,"Escribir un programa que reciba una cantidad n de ángulos expresados en radianes, los convierta al sistema sexagesimal (grados, minutos y segundos) y los imprima solo si la parte de los segundos es menor o igual a 30.",C,
B2016,Z1,Z1,"Escribir una función que reciba un vector de números enteros y un booleano, y devuelva un nuevo vector conteniendo aquellos números cuya representación en base 3 cumple ciertas condiciones sobre la paridad de las repeticiones de sus dígitos (clasificándolos en ""opaki"" u ""odvratni"" según la frecuencia de sus dígitos en dicha base).",C++,
B2016,Z1,Z4,"Escribir una función que reciba una cadena de texto y un vector de palabras, y modifique la cadena original invirtiendo cada una de las palabras especificadas en el vector. Adicionalmente, escribir una función que transforme las palabras indicadas en el vector al formato ""Pig Latin"" (moverse la primera letra al final y añadir ""ay""), lanzando una excepción si el vector contiene caracteres no alfabéticos.",C++,
B2016,Z1,Z3,"Escribir un programa que reciba un vector de números reales y encuentre todos los subarreglos (subsecuencias contiguas) máximos que sean estrictamente crecientes y todos los subarreglos máximos que sean estrictamente decrecientes, mostrando los resultados en pantalla.",C++,
B2016,Z1,Z2,"Escribir una función que reciba una matriz (vector de vectores) y devuelva una nueva matriz ampliada de tamaño 3x3 veces la original, donde la matriz central sea la original y los bloques adyacentes sean reflejos (espejo) horizontales, verticales y diagonales de la misma.",C++,
B2016,Z4,Z1,"Implementar una clase ""Trougao"" (Triángulo) en el plano bidimensional que permita definir y manipular triángulos a través de sus vértices, incluyendo métodos para calcular sus propiedades geométricas (perímetro, área, centroide, ángulos, orientación), realizar transformaciones geométricas (traslación, rotación, escalado) y comparar triángulos (identidad, congruencia y semejanza).",C++,
B2016,Z4,Z4,"Crear un sistema de gestión inmobiliaria mediante clases en C++ que permita representar datos de fechas (Datum), clientes (Kupac), propiedades (Stan) y transacciones de venta (Prodaja), incluyendo la validación de datos (fechas correctas y formatos de nombre) y métodos para la manipulación y visualización de esta información.",C++,
B2016,Z4,Z3,"Crear un sistema de gestión de ventas inmobiliarias que incluya la definición de clases para representar fechas, compradores, propiedades (apartamentos) y ventas, implementando validaciones para los datos de entrada y métodos para gestionar la información de cada entidad.",C++,
B2016,Z4,Z2,"Crear una clase `GradjaninBiH` que gestione la información de ciudadanos de Bosnia y Herzegovina, permitiendo crear instancias a partir de su JMBG (número de identificación único) o de sus datos personales (fecha de nacimiento, región, género), incluyendo validación de fechas, cálculo de la cifra de control del JMBG y manejo de una lista enlazada de los ciudadanos creados.",C++,
B2016,Z3,Z6,"Implementar una función que distribuya un conjunto de nombres (niños) en un número determinado de equipos utilizando una lista circular enlazada, donde el proceso de eliminación sigue una lógica similar al Problema de Josephus (contar caracteres del nombre para determinar quién sale).",C++,
B2016,Z3,Z1,"Implementar una función que realice la interpolación baricéntrica de Lagrange (de orden d) dado un conjunto de nodos (pares de coordenadas x, y) o una función matemática en un intervalo, incluyendo el cálculo de los pesos baricéntricos y el manejo de excepciones para nodos duplicados o parámetros inválidos.",C++,
B2016,Z3,Z4,"Escribir una función que distribuya a un grupo de personas (nombres almacenados en un vector) en un número determinado de equipos. La distribución se realiza mediante un proceso de eliminación cíclica (similar al problema de Josephus): se comienza con el primer nombre y se cuenta un número de pasos determinado por la cantidad de caracteres alfanuméricos del nombre actual para eliminar a la siguiente persona y asignarla al equipo, repitiendo el proceso hasta que todos los nombres hayan sido asignados. Si el número de equipos es inválido, se debe lanzar una excepción.",C++,
B2016,Z3,Z3,"Implementar una estructura genérica para manejar matrices dinámicas (usando punteros dobles) y crear funciones para su gestión (creación, destrucción, entrada, salida, producto de matrices, multiplicación por un escalar y creación de matrices identidad), asegurando un manejo correcto de la memoria mediante excepciones.",C++,
B2016,Z3,Z5,"Implementar una función que distribuya un grupo de niños (nombres en un vector) en un número determinado de equipos mediante el problema de Josephus. La función debe crear una lista circular enlazada con los nombres, y para cada equipo, contar el número de caracteres (letras y números) del nombre del niño eliminado para determinar quién es el siguiente en ser eliminado y asignado a dicho equipo. El proceso debe manejar la distribución equitativa de los niños según el residuo de la división del tamaño del grupo entre el número de equipos, lanzando una excepción si el número de equipos no es válido.",C++,
B2016,Z3,Z2,"Escribir una función que cree un índice de términos (un mapa que asocie cada palabra encontrada en un texto con un conjunto de sus posiciones de inicio) y otra función que permita buscar una palabra en dicho índice y retorne sus posiciones, ignorando mayúsculas y considerando solo caracteres alfanuméricos como parte de las palabras.",C++,
B2016,Z5,Z1,"Implementar un sistema de gestión de biblioteca que permita registrar usuarios (Korisnik) y libros (Knjiga), gestionar el préstamo y devolución de libros mediante identificadores (ID), y manejar la memoria dinámica de los objetos almacenados en contenedores (mapas), incluyendo la implementación de constructores de copia y movimiento, y operadores de asignación.",C++,
B2016,Z5,Z4,Escribir un programa que no realice ninguna operación y finalice correctamente (esqueleto de programa vacío).,C++,
B2016,Z5,Z3,"Implementar una clase ""Razlomak"" (Fracción) en C++ que gestione números racionales, incluyendo sobrecarga de operadores aritméticos (+, -, *, /), operadores de comparación, operadores de incremento/decremento compuesto, entrada/salida (flujos) y control de desbordamiento (overflow) para operaciones con números enteros de 64 bits.",C++,
B2016,Z5,Z5,"Crear una clase llamada ""Temperature"" que almacene registros de temperaturas mínimas y máximas en listas, incluyendo un constructor con validación de rango (min > max), un método para registrar nuevos pares de temperaturas y un método para borrar todos los registros.",C++,
B2016,Z5,Z2,"Crear un sistema de gestión de biblioteca que permita registrar usuarios (con datos personales como nombre, apellido, dirección y teléfono) y libros (con título, autor, género y año de publicación). La clase Biblioteka debe administrar ambos mediante mapas (con identificadores únicos), gestionar las operaciones de préstamo (zaduziti/razduziti), permitir la búsqueda de usuarios y libros, y listar todos los registros. Se requiere implementar el manejo de memoria mediante punteros inteligentes (std::shared_ptr) y definir constructores de copia y movimiento, así como operadores de asignación para la clase gestora.",C++,
B2016,Z2,Z1,"Implementar la lógica y las funciones básicas para un juego tipo buscaminas en una cuadrícula (tabla) de tamaño n, incluyendo funciones para colocar minas, bloquear/deblokear celdas, mover al jugador, verificar el estado del juego (victoria/derrota) y procesar comandos de entrada.",C++,
B2016,Z2,Z4,Escribir un programa que no realice ninguna operación y finalice correctamente (código vacío).,C++,
B2016,Z2,Z3,"Implementar una función genérica ""UvrnutiPresjek"" (intersección retorcida) que tome dos rangos (definidos por iteradores) y una función transformadora. La función debe retornar un vector de vectores conteniendo tríos formados por un elemento del primer rango, un elemento del segundo rango y el valor resultante de aplicar la función a ambos si estos coinciden; finalmente, ordenar los resultados basándose en el valor de la transformación y, en caso de empate, por los elementos originales. Adicionalmente, se requieren funciones auxiliares para calcular la suma de divisores, el número de factores primos, el número de divisores perfectos y la suma de dígitos de un número.",C++,
B2016,Z2,Z2,"Implementar una función genérica `IzdvojiDijagonale3D` que reciba un contenedor tridimensional y un enumerado `SmjerKretanja`, y devuelva una matriz (contenedor bidimensional) compuesta por los elementos que forman una diagonal específica dentro de las capas del contenedor 3D, incluyendo validación de dimensiones y lanzamiento de excepciones `std::domain_error` si el contenedor no es regular.",C++,
B2017,Z6,Z1,"Código 1: Ejercicio de examen sobre punteros, aritmética de direcciones y paso de parámetros por valor/referencia. Código 2: Implementación de una jerarquía de clases (POO) con polimorfismo para calcular el peso de diferentes tipos de contenedores (Spremnik, Sanduk, Vreca).",C (Código 1) y C++ (Código 2),
B2017,Z6,Z4,"Escribir una función que reciba una cadena de texto y extraiga o identifique los números contenidos en ella, retornándolos en un vector de enteros (o procesándolos según su formato).",C++,
B2017,Z6,Z3,Escribir un programa vacío o inicializar la estructura básica de un programa en C++,C++,
B2017,Z6,Z2,"Escribir un programa que solicite al usuario ingresar una cantidad determinada de oraciones, asigne dinámicamente memoria para cada una, almacene sus direcciones en un arreglo dinámico de punteros, y posteriormente las imprima ordenadas alfabéticamente (por código ASCII) utilizando la función `std::sort` con un criterio personalizado.",C++,
B2017,Z1,Z1,Escribir una función que reciba un vector de números enteros y un valor booleano. La función debe devolver un nuevo vector que contenga únicamente aquellos elementos del vector original que sean simétricos en su representación ternaria (base 3) y que cumplan la condición de ser números primos (si el booleano es true) o números compuestos (si el booleano es false).,C++,
B2017,Z1,Z4,"Escribir una función que tome una cadena (oración) y un vector de cadenas (frases), busque las ocurrencias de dichas frases dentro de la oración y realice una transformación sobre la oración original basándose en ellas (como invertir, reemplazar o convertir en palíndromo).",C++,
B2017,Z1,Z3,"Escribir una función que reciba un vector de números enteros y un indicador de dirección (creciente o decreciente), y devuelva un contenedor con todos los subvectores de longitud igual o superior a 2 formados exclusivamente por potencias de dos consecutivas que sigan la monotonía especificada.",C++,
B2017,Z1,Z2,"Escribir una función que reciba un contenedor de números y extraiga o identifique subsecciones (subarreglos o submatrices) basadas en criterios específicos como potencias de dos en una dirección dada (ascendente/descendente) o la detección de la ""submatriz montaña"" más grande dentro de una matriz de datos.",C++,
B2017,Z4,Z1,"Crear una clase denominada ""Kugla"" (Esfera) que represente una esfera en un espacio tridimensional. La clase debe incluir constructores para inicializar el centro (x, y, z) y el radio, métodos para obtener y modificar las coordenadas del centro y el radio, métodos para calcular el área superficial y el volumen, y métodos para trasladar la esfera, lanzando una excepción si el radio es negativo.",C++,
B2017,Z4,Z4,"Crear una clase `Pregled` (Consulta médica) que almacene el nombre del paciente, una fecha (clase `Datum`) y una hora (clase `Vrijeme`), incluyendo validación de datos, métodos de lectura y escritura, y gestión de la información de las citas.",C++,
B2017,Z4,Z3,"Crear un sistema de gestión de citas médicas definiendo las clases ""Datum"" (Fecha), ""Vrijeme"" (Tiempo) y ""Pregled"" (Examen/Consulta), con validación de datos, gestión de fechas bisiestas y métodos para manipular la información del paciente y la cita.",C++,
B2017,Z4,Z2,"Crear una clase llamada ""Kugla"" (Esfera) que permita gestionar esferas en un espacio tridimensional (almacenando coordenadas del centro y radio), incluyendo validación de datos (radio no negativo), métodos para calcular superficie y volumen, y métodos para modificar o consultar los atributos del objeto. El nombre ""NepreklapajucaKugla"" sugiere una extensión posterior para manejar una lista enlazada o gestión de esferas que no se solapan.",C++,
B2017,Z3,Z6,"Crear y manipular una lista circular enlazada que represente una baraja de cartas (52 cartas), donde cada nodo contiene el palo (Pik, Tref, Herc, Karo) y el valor de la carta, incluyendo una función para imprimir el estado actual de la baraja agrupando las cartas por palo.",C++,
B2017,Z3,Z1,"Implementar una función para realizar interpolación lineal, ya sea a partir de un conjunto de pares de coordenadas (nodos) o mediante una función matemática dada en un intervalo [x_min, x_max] con un paso determinado (dx), incluyendo validación de rangos y errores.",C++,
B2017,Z3,Z4,"Crear un programa que gestione una baraja de cartas (representadas mediante un tipo enumerado para los palos y strings para los valores). El programa debe permitir generar una baraja completa (52 cartas), imprimir las cartas agrupadas por palo, y realizar operaciones de filtrado o eliminación de cartas específicas a partir de una lista o mapa de cartas proporcionado, validando la integridad de los datos.",C++,
B2017,Z3,Z3,"Implementar un conjunto de funciones genéricas (templates) para la gestión dinámica de matrices (creación, destrucción, entrada, salida y suma de matrices), manejando adecuadamente la asignación de memoria y lanzando excepciones en caso de dimensiones incompatibles.",C++,
B2017,Z3,Z5,Implementar una estructura de datos para representar una baraja de cartas (utilizando una lista enlazada circular) y funciones para crear la baraja (con sus 52 cartas clasificadas por palo y valor) e imprimir el contenido agrupado por palo.,C++,
B2017,Z3,Z2,"Crear un programa que permita introducir el contenido de un libro (organizado por capítulos y páginas) y genere un índice alfabético (índice de términos) que mapee cada palabra encontrada en el texto con su ubicación exacta (capítulo, número de página y posición dentro de la página).",C++,
B2017,Z5,Z6,Escribir un programa vacío o una estructura base para un archivo fuente de C++.,C++,
B2017,Z5,Z1,"Crear una clase llamada ""Student"" que contenga como atributos el número de índice, año de estudios, nombre, apellido, dirección y número de teléfono, incluyendo un constructor para inicializar dichos valores.",C++,
B2017,Z5,Z4,"Crear un programa que demuestre el uso de vectores en C++, incluyendo la inicialización de punteros dentro de un vector, la verificación de valores nulos y la asignación entre vectores.",C++,
B2017,Z5,Z3,"Escribir un programa que solicite un número entero por teclado e imprima la palabra ""cupo"" tantas veces como indique dicho número.",C++,
B2017,Z5,Z5,Escribir un programa vacío o inicializar la estructura básica de un programa en C++,C++,
B2017,Z5,Z2,Escribir un programa que no realice ninguna operación y finalice correctamente (o el cuerpo de la función principal aún está pendiente de implementación).,C++,
B2017,Z2,Z1,"Implementar la lógica de un juego tipo buscaminas en una cuadrícula de tamaño N, incluyendo funciones para inicializar el tablero con minas, visualizar la cantidad de minas en las celdas adyacentes a una posición dada y gestionar estados de las celdas (bloqueo/desbloqueo).",C++,
B2017,Z2,Z4,"Implementar una función genérica llamada `SortirajPodrucjeVrijednosti` que tome dos rangos de entrada, un tercer rango de salida (o modificación), una función binaria para aplicar a los elementos de los dos primeros rangos y una función de comparación para ordenar los rangos de entrada. La función debe ordenar ambos rangos de entrada según el criterio dado, aplicar la función binaria a los elementos correspondientes de cada par, y reordenar o manipular los elementos del tercer rango basándose en los resultados obtenidos, lanzando una excepción `std::logic_error` si no se encuentra una correspondencia.",C++,
B2017,Z2,Z3,"Escribir una función que reciba un vector de enteros positivos y genere una estructura de datos dinámica (matriz de punteros/jagged array) basada en el periodo detectado en el vector, realizando una asignación de memoria continua (o fragmentada) donde cada fila contiene una secuencia de enteros calculada a partir de los elementos del vector original y su valor máximo, asegurando el manejo de excepciones para vectores vacíos o con elementos no positivos.",C++,
B2017,Z2,Z2,"Implementar una función genérica llamada ""PjescaniSat"" (Reloj de arena) que reciba un contenedor tridimensional (como vector de deques de deques) y un enum que especifique una dirección de movimiento. La función debe validar que la estructura sea una matriz cúbica de dimensión impar, extraer los elementos que forman un patrón de ""reloj de arena"" dentro de cada capa (o sección) siguiendo la dirección indicada y retornar el resultado en un nuevo contenedor.",C++,
A2017,Z1,Z1,"Escribir un programa que calcule el costo total de las comidas elegidas por tres personas (Tarik, Bojan y Mirza) en tres restaurantes diferentes (Restaurante, Fast-food y Bistro) basándose en los precios de hamburguesas, cevapi y pizza, y determinar cuál es la opción más barata, considerando además posibles descuentos aplicables bajo ciertas condiciones de pedido.",C,
