curso,carpeta,subcarpeta,enunciado,lenguaje,detalles_implementacion
A2016,Z1,Z1,"Izračunati zbir bodova koje su dobila tri studenta (Tarik, Bojan i Mirza) na jednom predmetu, na osnovu rezultata pet kategorija: prvi parcijalni ispit (maksimalno 20 bodova), drugi parcijalni ispit (maksimalno 20 bodova), prisustvo (maksimalno 10 bodova), domaći zadaci (maksimalno 10 bodova) i završni ispit (maksimalno 40 bodova). Program treba da validira da su unosi u dozvoljenim rasponima i da se završi sa porukom o grešci ako je bilo koja vrednost neispravna.",C,
A2016,Z1,Z4,"Napisati program koji traži od korisnika celi broj n (gde je 0 < n <= 50) i ispisuje na ekranu slovo 'W' (ili zvezdasti uzorak u obliku slova W) formirano od zvezdica, sa visinom od n redova.",C,
A2016,Z1,Z3,"Napišite program koji omogućava unos serije znakova koji predstavljaju boje vozila (c: crna, b: bela, s: siva, v: crvena, p: plava). Unos se završava unošenjem znaka 'k'. Program treba da prebroji ukupan broj unetih vozila, izračuna procenat svake boje i odredi koja je boja najpopularnija (u slučaju nerešenog rezultata, pobednik je boja koja se prva pojavila).",C,
A2016,Z1,Z2,"Dati koeficijenti dve prave u obliku y = ax + b (y₁ = a₁x + b₁ i y₂ = a₂x + b₂), odrediti njihov relativni položaj (paralelne, podudarne ili sekuće) i, u slučaju da su sekuće, izračunati koordinate tačke preseka.",C,
A2016,Z4,Z1,Napisati funkciju koja prima niz znakova (rečenicu) i uklanja sva pojavljivanja reči koja se najčešće pojavljuje u toj rečenici.,C,
A2016,Z4,Z4,"Napisati funkciju koja prima string koji predstavlja listu koordinata (x, y) u formatu ""(x1,y1),(x2,y2),..."" i pravougaonik definisan njegovim granicama (x1, y1, x2, y2). Funkcija treba da ukloni iz stringa sve koordinate koje nisu unutar granica datog pravougaonika, i vrati modifikovani string.",C,
A2016,Z4,Z3,Napisati funkciju koja prima tekstualni niz i dva niza stringova (reči za pretragu i reči za zamenu) i zamenjuje u tekstu sva pojavljivanja navedenih reči njihovim odgovarajućim zamenama.,C,
A2016,Z4,Z2,"Implementirati algoritam šifriranja i dešifriranja supstitucijom na temelju frekvencije pojavljivanja znakova. Program treba sortirati znakove izvornog teksta prema njihovoj frekvenciji (od najveće prema najmanjoj) kako bi stvorio ključ (supstitucijsku abecedu), i transformirati izvorni tekst zamjenjujući svaki znak vrijednošću izračunatom na temelju njegove pozicije u tom ključu.",C,
A2016,Z3,Z1,"Napisati program koji od korisnika traži dva cela broja A i B (gde je A < B i oba moraju biti prirodna), i izračunava sumu svih prostih brojeva koji se nalaze striktno između A i B.",C,
A2016,Z3,Z3,"Napisati program koji čita matricu veličine M x N (sa definisanim granicama) i briše sve duplirane redove i kolone, ostavljajući samo prvo pojavljivanje svake, da bi na kraju ispisao rezultujuću matricu.",C,
